unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62E+12,09/03/2021 12:00,BTC/USDT,54235.88,54236.7,53538.77,53725.5,2514.80248,135616547,85101
1.62E+12,09/03/2021 11:00,BTC/USDT,54159.52,54293.97,53917.21,54233.32,2086.755984,112971333.3,74794
1.62E+12,09/03/2021 10:00,BTC/USDT,54112.5,54355,53875,54159.52,3441.459004,186327392.6,84266
1.62E+12,09/03/2021 09:00,BTC/USDT,54023.79,54270.27,53872.05,54112.5,2719.145792,147119316.1,109901
1.62E+12,09/03/2021 08:00,BTC/USDT,53546.89,54168.99,53274.96,54023.79,2853.623442,153610890.8,85740
1.62E+12,09/03/2021 07:00,BTC/USDT,53847.64,53890.92,53409.57,53546.9,3215.783794,172686602.9,89948
1.62E+12,09/03/2021 06:00,BTC/USDT,54254.52,54448,53737,53847.64,3100.272326,167775431,105727
1.62E+12,09/03/2021 05:00,BTC/USDT,53684.14,54400.8,53681.44,54254.52,3270.8322,177122662,105492
1.62E+12,09/03/2021 04:00,BTC/USDT,53840.63,54040,53484.44,53678.88,2461.50389,132389835.4,105442
1.62E+12,09/03/2021 03:00,BTC/USDT,53592.84,54100,53452.47,53840.62,3755.860808,202076703.5,123817
1.62E+12,09/03/2021 02:00,BTC/USDT,53575.35,53799,53250.41,53592.7,3698.608108,197955885.6,85448
1.62E+12,09/03/2021 01:00,BTC/USDT,52020.24,53760,51981.26,53575.35,7510.120433,399283702.1,175064
1.62E+12,09/03/2021 00:00,BTC/USDT,52375.18,52540.48,51789.41,52020.23,3791.402835,197912696.4,87276
1.62E+12,08/03/2021 23:00,BTC/USDT,51599.99,52402.78,51599.99,52375.17,3383.224914,175963606.1,86398
1.62E+12,08/03/2021 22:00,BTC/USDT,51848.34,51900,51300,51599.99,2086.905644,107715294.6,64080
1.62E+12,08/03/2021 21:00,BTC/USDT,51762.77,51927,51505,51848.33,2386.929883,123383951.1,69111
1.62E+12,08/03/2021 20:00,BTC/USDT,51310.82,51996.58,51236.2,51759.63,3743.685927,193227154.4,91822
1.62E+12,08/03/2021 19:00,BTC/USDT,50803.19,51485.35,50790,51310.82,2750.068321,140806609.4,78017
1.62E+12,08/03/2021 18:00,BTC/USDT,50801.55,51075.4,50732.36,50803.18,1705.523577,86766065.46,55683
1.62E+12,08/03/2021 17:00,BTC/USDT,50664.91,50880,50630,50809.04,1704.212046,86504651.14,50012
1.62E+12,08/03/2021 16:00,BTC/USDT,51055,51175,50550.01,50664.91,2348.856571,119420974.8,94450
1.62E+12,08/03/2021 15:00,BTC/USDT,50744.26,51220,50541.67,51054.99,3226.788191,164440816.1,100209
1.62E+12,08/03/2021 14:00,BTC/USDT,50978.42,51233,50122.45,50740.9,3500.519254,177662740.7,90866
1.62E+12,08/03/2021 13:00,BTC/USDT,50274.58,51065.63,50265.16,50978.43,3657.938767,185567166,96513
1.62E+12,08/03/2021 12:00,BTC/USDT,50490.39,50550,50100.01,50275,2463.59128,123859515.9,106998
1.62E+12,08/03/2021 11:00,BTC/USDT,50061.01,50560,49878,50496.82,2218.683534,111303263.5,67392
1.62E+12,08/03/2021 10:00,BTC/USDT,49883.13,50271.67,49682.3,50061,2791.023369,139630861.9,83384
1.62E+12,08/03/2021 09:00,BTC/USDT,49880.49,50099.97,49400,49880,2802.450341,139353571.4,87412
1.62E+12,08/03/2021 08:00,BTC/USDT,49755.24,49888.59,49274.67,49880.35,3692.482483,183134555.2,113084
1.62E+12,08/03/2021 07:00,BTC/USDT,50274.76,50427.53,49521.2,49755.24,4023.214322,200668275.3,144588
1.62E+12,08/03/2021 06:00,BTC/USDT,50765.77,50944,50150.42,50274.76,2858.160422,144355923,68636
1.62E+12,08/03/2021 05:00,BTC/USDT,50417.45,50816.16,50355.16,50765.77,2044.284159,103420379.4,50504
1.62E+12,08/03/2021 04:00,BTC/USDT,50598.49,50598.5,50100,50417.44,2251.803673,113395708.4,74157
1.62E+12,08/03/2021 03:00,BTC/USDT,50730.82,50808.32,50234.98,50598.49,2601.686256,131406016.6,78549
1.62E+12,08/03/2021 02:00,BTC/USDT,51557.7,51594.22,50481.84,50730.82,2903.065624,148006873.6,91650
1.62E+12,08/03/2021 01:00,BTC/USDT,51491.1,51847.38,51250.05,51557.7,2584.406454,133321736.2,68603
1.62E+12,08/03/2021 00:00,BTC/USDT,50959.11,51685,50843.59,51491.1,3257.854652,167532220.8,87283
1.62E+12,07/03/2021 23:00,BTC/USDT,50498.56,51450.03,50480.89,50971.75,2947.465111,150433067.1,90430
1.62E+12,07/03/2021 22:00,BTC/USDT,50086.11,50784.12,49986.39,50498.55,1517.24544,76506985.45,57815
1.62E+12,07/03/2021 21:00,BTC/USDT,50036.63,50265.81,49833.08,50086.12,1456.990252,72905828.81,46097
1.62E+12,07/03/2021 20:00,BTC/USDT,50381.69,50381.69,49758.01,50036.64,2640.363891,131910392.5,75982
